,wid,age,country,gender,marital,parenthood,hmid,reflection_period,original_hm,cleaned_hm,modified,num_sentence,ground_truth_category,predicted_category,value
0,1,37,USA,m,married,y,28054,24h,My mother called out of the blue to tell me how proud she is of me.,My mother called out of the blue to tell me how proud she is of me.,True,1,affection,affection,1
1,1,37,USA,m,married,y,57637,24h,I got to take the day off from my part time job and spend some time with both my kids.,I got to take the day off from my part time job and spend some time with both my kids.,True,1,affection,affection,1
2,1,37,USA,m,married,y,64498,3m,my son had a great time on his 8th birthday.,my son had a great time on his 8th birthday.,True,1,affection,affection,1
3,1,37,USA,m,married,y,80306,3m,"I got to have a three day weekend which i spent with my wife, kids, and my parents.","I got to have a three day weekend which i spent with my wife, kids, and my parents.",True,1,affection,affection,1
4,1,37,USA,m,married,y,88307,3m,My fiance proposed to me in front of my family in the beginning of March.,My fiance proposed to me in front of my family in the beginning of March.,True,1,affection,affection,1
46,4,32,USA,m,married,y,27914,24h,I celebrated my 7th wedding anniversary with my wife.,I celebrated my 7th wedding anniversary with my wife.,True,1,affection,affection,1
48,4,32,USA,m,married,y,45632,24h,My child made her U18 soccer team!,My child made her U18 soccer team!,True,1,affection,affection,1
51,4,32,USA,m,married,y,84659,3m,My wife made a great steak dinner with potatoes,My wife made a great steak dinner with potatoes,True,1,affection,affection,1
52,4,32,USA,m,married,y,96648,3m,My wife made dinner without me asking,My wife made dinner without me asking,True,1,affection,affection,1
53,4,32,USA,m,married,y,117294,24h,My child won an Art contest and will be in the local paper tomorrow.,My child won an Art contest and will be in the local paper tomorrow.,True,1,affection,achievement,1
59,5,29,USA,m,married,y,35504,24h,I spent an hour walking my dog in the decent weather and it made both of us very happy.,I spent an hour walking my dog in the decent weather and it made both of us very happy.,True,1,affection,affection,1
63,5,29,USA,m,married,y,83392,3m,I planned a surprise for my wife for mothers day and the anticipation is making me very happy.,I planned a surprise for my wife for mothers day and the anticipation is making me very happy.,True,1,affection,affection,1
86,7,34,USA,m,married,y,57515,24h,We went to a sushi place for lunch.  I had a pork cutlet curry bowl and my son had chicken don.  Both dishes were great and we shared with each other.  He ate the whole bowl again.  I was amazed at his ability to eat today.  ,We went to a sushi place for lunch.  I had a pork cutlet curry bowl and my son had chicken don.  Both dishes were great and we shared with each other.  He ate the whole bowl again.  I was amazed at his ability to eat today.  ,True,5,affection,affection,1
88,7,34,USA,m,married,y,93560,3m,"I made some amazing fried chicken for dinner tonight.  My boys absolutely loved it.  Usually they pick and prod their food, but they ate it up really quickly.  I'm really glad that they liked it, and I really like it too.  ","I made some amazing fried chicken for dinner tonight.  My boys absolutely loved it.  Usually they pick and prod their food, but they ate it up really quickly.  I'm really glad that they liked it, and I really like it too.  ",True,4,affection,affection,1
90,7,34,USA,m,married,y,119680,24h,My youngest child told me last night that he was tired and wanted to go to bed.  Usually it's a struggle to get him calmed down and in bed before I am tired.  This gave me some much needed time to myself.  ,My youngest child told me last night that he was tired and wanted to go to bed.  Usually it's a struggle to get him calmed down and in bed before I am tired.  This gave me some much needed time to myself.  ,True,3,affection,affection,1
